Category,Subcategory,Item Name,ItemID,Catalog ID,Contract ID,contract total value,contract start date,contract end date,contract term,PurchaseID,User Name,UserID,Supplier Name,SupplierID,PurchaseDate,DeliveryDate,Quantity,Unit Price,TotalCost,CostCenter,GLAccount,Currency,Budget Owner,Budget,Budget Available,Department,Role,Country,Contact Number,Email,Rating,Avg Delivery Time,Lead Time,Reliability Score,Description,Specifications
Scanning Devices,Barcode Scanner,Honeywell Voyager 1250g,I193,,CNT008,251833.35,7/2/2024,7/2/2027,3 years,PO1214,Caleb Jones,US182,Martin-White,SUP107,1/20/2024,1/21/2024,7,195.65,1369.55,CC177,GL20027,USD,Sean Green,5000000,4999498.17,Marketing,Employee,China,+86 6305666875,martin-white@gmail.com,2.16,10,15,4.22,"The Honeywell Voyager 1250g is a laser barcode scanner with aggressive scanning performance, ideal for retail and light industrial applications.","Specs: 1D scanning, IP42 rating, 16 ft range, 100 scans/second."
Robotics,Industrial Robot,Kawasaki RS007N,I180,,CNT016,1202312.25,7/2/2024,7/2/2027,3 years,PO1215,Gregory Richards,US116,"Gonzalez, Turner and Allen",SUP115,5/8/2024,5/16/2024,17,121.39,2063.63,CC151,GL20001,USD,Kimberly Maynard,80000,78903.5,Maintenance,Procurement Manager,China,+86 2265673257,gonzalezturnerandallen@gmail.com,3.37,5,10,1.85,"The Kawasaki RS007N is a compact industrial robot with a 7 kg payload and high-speed capabilities, ideal for small part handling.","Specs: 7 kg payload, 0.72 m reach, IP67 protection, table-top mounting."
Robotics,Industrial Robot,Kawasaki RS007N,I180,,CNT011,336980.25,7/2/2024,7/2/2025,1 years,PO1216,Donna Patrick,US167,Gonzalez Inc,SUP110,6/19/2024,7/4/2024,9,168.69,1518.21,CC159,GL20009,USD,April Snyder,80000,79419.5,Finance,Employee,Brazil,+55 6704278326,gonzalezinc@gmail.com,3.27,9,13,3.88,"The Kawasaki RS007N is a compact industrial robot with a 7 kg payload and high-speed capabilities, ideal for small part handling.","Specs: 7 kg payload, 0.72 m reach, IP67 protection, table-top mounting."
Photography Equipment,Digital Camera,Sigma fp,I211,,CNT010,11878.82,7/2/2024,7/2/2026,2 years,PO1217,Thomas Moore,US161,Hill-Lopez,SUP109,3/13/2024,3/21/2024,7,100.06,700.42,CC154,GL20004,USD,Kimberly Maynard,1500000,1499891.01,Maintenance,Department Head,India,+91 3937587667,hill-lopez@gmail.com,2.88,6,11,2.38,"The Sigma fp is a compact full-frame mirrorless camera with 24.6MP resolution and 4K video recording, perfect for creative photography.","Specs: 24.6MP full-frame sensor, 4K video, 18fps burst, modular design."
Power Backup,Generator,WEN 56200i,I169,,CNT006,305112.62,7/2/2024,7/2/2025,1 years,PO1218,Renee Colon,US177,"Parker, Clark and Peterson",SUP105,2/4/2024,2/9/2024,7,189.12,1323.84,CC174,GL20024,USD,Sean Green,100000,99447.63,Marketing,Procurement Manager,UK,+44 2531987928,parkerclarkandpeterson@gmail.com,4.79,9,10,3.2,"The WEN 56200i is a quiet inverter generator with 2000 watts of power, suitable for camping, tailgating, and emergencies.","Specs: 79 cc engine, 6-hour run time, 48 lbs, inverter technology."
Power Backup,Generator,Westinghouse WGen7500,I164,,CNT004,631691.14,7/2/2024,7/2/2026,2 years,PO1219,Larry Patton,US189,Brown and Sons,SUP103,6/8/2024,7/4/2024,9,195.23,1757.07,CC150,GL20000,USD,Kimberly Maynard,100000,99205.21,Maintenance,Employee,UK,+44 6013776014,brownandsons@gmail.com,3.16,8,12,4.27,"The Westinghouse WGen7500 is a powerful portable generator with 7500 running watts and 9500 peak watts, equipped with a remote start.","Specs: 420 cc engine, 16-hour run time, 192 lbs, electric start."
Audio Equipment,Sound System,Fender Passport Event,I219,,CNT015,390687.5,7/2/2024,7/2/2027,3 years,PO1220,Elizabeth Hunter,US115,Scott-Morse,SUP114,1/5/2024,1/27/2024,9,69.24,623.16,CC179,GL20029,USD,Sean Green,5000000,4999374.95,Marketing,Employee,Canada,+1 2910344694,scott-morse@gmail.com,3.18,10,13,2.57,"The Fender Passport Event is a compact and easy-to-use portable PA system with excellent sound quality, ideal for public speaking and music.","Specs: 375W power, 7-channel mixer, 2x6-inch speakers, Bluetooth streaming."
Navigation & Tracking,GPS Tracking Device,Spytec GL300,I183,,CNT008,2554882.56,7/2/2024,7/2/2025,1 years,PO1221,Alexandra Perry,US138,Martin-White,SUP107,3/7/2024,4/4/2024,16,300.39,4806.24,CC160,GL20010,USD,April Snyder,1500000,1498401.6,Finance,Employee,China,+86 6305666875,martin-white@gmail.com,2.16,10,15,4.22,"The Spytec GL300 is a reliable GPS tracker with real-time tracking and long battery life, suitable for personal and vehicle tracking.","Specs: 2-week battery life, real-time updates, geofencing, IP66 rating."
Audio Equipment,Sound System,Electro-Voice ZLX-12P,I216,,CNT001,5652.03,7/2/2024,7/2/2025,1 years,PO1222,Emily Edwards,US184,"Taylor, Smith and Co",SUP100,6/12/2024,7/8/2024,7,121.08,847.56,CC163,GL20013,USD,April Snyder,5000000,4999924.82,Finance,Employee,Brazil,+55 4551244952,taylorsmithandco@gmail.com,2.91,9,12,1.86,The Electro-Voice ZLX-12P is a versatile powered speaker with excellent sound quality and easy-to-use controls.,"Specs: 1000W power, 12-inch woofer, 2-way powered speaker, LCD display."
Photography Equipment,Digital Camera,Sigma fp,I211,,CNT014,24242.49,7/2/2024,7/2/2026,2 years,PO1223,Jason Barnes,US160,Roberts-Ferguson,SUP113,6/14/2024,7/14/2024,10,219.74,2197.4,CC170,GL20020,USD,Jennifer Bates,1500000,1499844.3,Warehouse,Employee,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,"The Sigma fp is a compact full-frame mirrorless camera with 24.6MP resolution and 4K video recording, perfect for creative photography.","Specs: 24.6MP full-frame sensor, 4K video, 18fps burst, modular design."
Power Backup,Generator,Generac GP3000i,I163,,CNT008,81054.09,7/2/2024,7/2/2027,3 years,PO1224,Anne Taylor,US113,Martin-White,SUP107,1/24/2024,2/13/2024,5,80.47,402.35,CC150,GL20000,USD,Kimberly Maynard,100000,99715.3,Maintenance,Department Head,China,+86 6305666875,martin-white@gmail.com,2.16,10,15,4.22,"The Generac GP3000i provides 3000 starting watts and 2300 running watts, featuring quiet inverter power ideal for camping and outdoor activities.","Specs: 212 cc engine, 7.7-hour run time, 59.5 lbs, parallel capable."
HVAC Systems,Air Conditioning Unit,Daikin 17 Series Mini Split,I224,,CNT015,187991.62,7/2/2024,7/2/2025,1 years,PO1225,Vincent Graham,US114,Scott-Morse,SUP114,1/5/2024,1/10/2024,19,61,1159,CC164,GL20014,USD,April Snyder,1500000,1499566.42,Finance,Department Head,Canada,+1 2910344694,scott-morse@gmail.com,3.18,10,13,2.57,The Daikin 17 Series Mini Split is a high-efficiency air conditioning unit with advanced inverter technology and quiet operation.,"Specs: 17 SEER, inverter compressor, multi-zone capability, ENERGY STAR certified."
Power Backup,Generator,DuroMax XP12000EH,I168,,CNT007,7649.25,7/2/2024,7/2/2026,2 years,PO1226,Erin Ibarra,US127,"Adams, Davis and Johnson",SUP106,6/12/2024,6/28/2024,2,116.56,233.12,CC158,GL20008,USD,April Snyder,100000,99912.54,Finance,Department Head,France,+33 7734570375,adamsdavisandjohnson@gmail.com,2.44,10,15,1.04,"The DuroMax XP12000EH is a powerful dual fuel generator with 12000 starting watts and 9500 running watts, perfect for heavy-duty use.","Specs: 457 cc engine, 8.3-hour run time, 260 lbs, dual fuel capability."
HVAC Systems,Air Conditioning Unit,Frigidaire FFRE0833S1,I223,,CNT016,119045.7,7/2/2024,7/2/2027,3 years,PO1227,Elijah Bates,US171,"Gonzalez, Turner and Allen",SUP115,1/23/2024,2/9/2024,7,128.18,897.26,CC188,GL20038,USD,Robin Lopez,1500000,1499654.97,Assembly,Department Head,China,+86 2265673257,gonzalezturnerandallen@gmail.com,3.37,5,10,1.85,The Frigidaire FFRE0833S1 is a reliable window air conditioner with 8000 BTU cooling capacity and energy-saving features.,"Specs: 8,000 BTU, Energy Star certified, 12.1 EER, multiple fan speeds."
Robotics,Industrial Robot,Yaskawa Motoman MH24,I175,,CNT013,1298.16,7/2/2024,7/2/2027,3 years,PO1228,Alicia Gilbert,US139,Lewis-Williams,SUP112,5/10/2024,5/29/2024,1,180.79,180.79,CC191,GL20041,USD,Janice Johnston,80000,79963.97,Production,Department Head,Brazil,+55 7452780962,lewis-williams@gmail.com,3.33,7,9,2.51,"The Yaskawa Motoman MH24 is a high-performance industrial robot with a 24 kg payload capacity, suitable for welding, handling, and assembly.","Specs: 24 kg payload, 3.1 m reach, IP67 protection, floor-mounted."
Navigation & Tracking,GPS Tracking Device,Tile Pro,I186,,CNT009,289723.83,7/2/2024,7/2/2025,1 years,PO1229,David Herrera,US193,Hughes-Baker,SUP108,4/3/2024,4/10/2024,6,300.44,1802.64,CC176,GL20026,USD,Sean Green,1500000,1499461.74,Marketing,Procurement Manager,France,+33 7293335685,hughes-baker@gmail.com,2.16,5,9,4.49,"The Tile Pro is a Bluetooth tracker with a loud ring and long-range, perfect for keeping track of personal items.","Specs: 400 ft range, 1-year battery, loud 119 dB ring, iOS/Android app."
Power Backup,Generator,WEN 56200i,I169,,CNT013,155669.7,7/2/2024,7/2/2025,1 years,PO1230,Randy Salas,US125,Lewis-Williams,SUP112,6/11/2024,6/30/2024,5,296.12,1480.6,CC182,GL20032,USD,Robin Lopez,100000,99605.45,Assembly,Procurement Manager,Brazil,+55 7452780962,lewis-williams@gmail.com,3.33,7,9,2.51,"The WEN 56200i is a quiet inverter generator with 2000 watts of power, suitable for camping, tailgating, and emergencies.","Specs: 79 cc engine, 6-hour run time, 48 lbs, inverter technology."
Power Backup,Generator,Westinghouse WGen7500,I164,,CNT016,280751.62,7/2/2024,7/2/2025,1 years,PO1231,Andre Glenn,US109,"Gonzalez, Turner and Allen",SUP115,5/15/2024,5/24/2024,6,207.89,1247.34,CC182,GL20032,USD,Robin Lopez,100000,99470.14,Assembly,Employee,China,+86 2265673257,gonzalezturnerandallen@gmail.com,3.37,5,10,1.85,"The Westinghouse WGen7500 is a powerful portable generator with 7500 running watts and 9500 peak watts, equipped with a remote start.","Specs: 420 cc engine, 16-hour run time, 192 lbs, electric start."
Audio Equipment,Sound System,Electro-Voice ZLX-12P,I216,,CNT010,115.35,7/2/2024,7/2/2027,3 years,PO1232,Andrew Parrish,US131,Hill-Lopez,SUP109,2/25/2024,2/26/2024,1,69.93,69.93,CC195,GL20045,USD,Janice Johnston,5000000,4999989.26,Production,Employee,India,+91 3937587667,hill-lopez@gmail.com,2.88,6,11,2.38,The Electro-Voice ZLX-12P is a versatile powered speaker with excellent sound quality and easy-to-use controls.,"Specs: 1000W power, 12-inch woofer, 2-way powered speaker, LCD display."
Robotics,Industrial Robot,Kawasaki RS007N,I180,,CNT009,66564,7/2/2024,7/2/2026,2 years,PO1233,Jack Edwards,US145,Hughes-Baker,SUP108,4/22/2024,4/26/2024,4,60.24,240.96,CC159,GL20009,USD,April Snyder,80000,79742,Finance,Employee,France,+33 7293335685,hughes-baker@gmail.com,2.16,5,9,4.49,"The Kawasaki RS007N is a compact industrial robot with a 7 kg payload and high-speed capabilities, ideal for small part handling.","Specs: 7 kg payload, 0.72 m reach, IP67 protection, table-top mounting."
Navigation & Tracking,GPS Tracking Device,Jiobit Smart Tag,I191,,CNT003,15735.19,7/2/2024,7/2/2026,2 years,PO1234,Lori Jones,US102,Evans Ltd,SUP102,2/28/2024,3/5/2024,4,143.8,575.2,CC168,GL20018,USD,Jennifer Bates,1500000,1499874.56,Warehouse,Employee,Australia,+61 3792783940,evansltd@gmail.com,4.91,9,11,1.14,"The Jiobit Smart Tag is a compact GPS tracker with real-time location tracking, perfect for keeping track of children and pets.","Specs: Real-time tracking, geofencing, long battery life, waterproof."
Robotics,Industrial Robot,Mitsubishi RV-7FR,I177,,CNT012,1094618.14,7/2/2024,7/2/2025,1 years,PO1235,Mark Huffman,US178,Clark-Roberts,SUP111,6/4/2024,6/15/2024,16,253.5,4056,CC183,GL20033,USD,Robin Lopez,80000,78953.76,Assembly,Employee,Germany,+49 2606446484,clark-roberts@gmail.com,4.78,9,12,3.9,"The Mitsubishi RV-7FR is a compact industrial robot with a 7 kg payload and high-speed capabilities, ideal for precision tasks.","Specs: 7 kg payload, 0.72 m reach, IP67 protection, table-top mounting."
Photography Equipment,Digital Camera,Nikon D850,I204,,CNT008,1202992.18,7/2/2024,7/2/2026,2 years,PO1236,Summer Carroll,US120,Martin-White,SUP107,1/18/2024,2/12/2024,13,120.75,1569.75,CC178,GL20028,USD,Sean Green,1500000,1498903.19,Marketing,Employee,China,+86 6305666875,martin-white@gmail.com,2.16,10,15,4.22,"The Nikon D850 is a professional DSLR camera with a 45.7MP sensor and 4K UHD video recording, known for its high resolution and dynamic range.","Specs: 45.7MP full-frame sensor, 4K video, 7fps burst, 153-point AF."
Navigation & Tracking,GPS Tracking Device,Bouncie GPS Car Tracker,I188,,CNT012,155417.29,7/2/2024,7/2/2025,1 years,PO1237,Dominique Brown,US122,Clark-Roberts,SUP111,1/8/2024,1/29/2024,17,87.81,1492.77,CC160,GL20010,USD,April Snyder,1500000,1499605.77,Finance,Department Head,Germany,+49 2606446484,clark-roberts@gmail.com,4.78,9,12,3.9,"The Bouncie GPS Car Tracker provides real-time tracking with driving insights and roadside assistance, ideal for vehicle monitoring.","Specs: Real-time tracking, driving insights, roadside assistance, geofencing."
Robotics,Industrial Robot,Mitsubishi RV-7FR,I177,,CNT014,17103.41,7/2/2024,7/2/2026,2 years,PO1238,Kyle Johnson,US129,Roberts-Ferguson,SUP113,5/29/2024,6/26/2024,2,71.98,143.96,CC183,GL20033,USD,Robin Lopez,80000,79869.22,Assembly,Employee,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,"The Mitsubishi RV-7FR is a compact industrial robot with a 7 kg payload and high-speed capabilities, ideal for precision tasks.","Specs: 7 kg payload, 0.72 m reach, IP67 protection, table-top mounting."
Audio Equipment,Sound System,QSC K12.2,I215,,CNT014,26634.24,7/2/2024,7/2/2026,2 years,PO1239,Peter Garza,US108,Roberts-Ferguson,SUP113,4/19/2024,5/6/2024,12,235.74,2828.88,CC187,GL20037,USD,Robin Lopez,5000000,4999836.8,Assembly,Procurement Manager,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,"The QSC K12.2 is a powerful active speaker with advanced DSP and high output, suitable for professional audio applications.","Specs: 1000W power, 12-inch woofer, 2-way active speaker, DSP processing."
Navigation & Tracking,GPS Tracking Device,Americaloc GL300W,I190,,CNT016,383012.45,7/2/2024,7/2/2026,2 years,PO1240,Carla Valencia,US119,"Gonzalez, Turner and Allen",SUP115,4/9/2024,4/27/2024,8,53,424,CC176,GL20026,USD,Sean Green,1500000,1499381.12,Marketing,Department Head,China,+86 2265673257,gonzalezturnerandallen@gmail.com,3.37,5,10,1.85,"The Americaloc GL300W is a versatile GPS tracker with real-time tracking and extended battery life, ideal for various tracking needs.","Specs: 3-week battery life, real-time updates, geofencing, waterproof IP67."
Power Backup,Generator,Yamaha EF2000iSv2,I167,,CNT014,80094.66,7/2/2024,7/2/2026,2 years,PO1241,Nancy Johnson,US142,Roberts-Ferguson,SUP113,4/12/2024,4/20/2024,13,231.91,3014.83,CC150,GL20000,USD,Kimberly Maynard,100000,99716.99,Maintenance,Employee,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,"The Yamaha EF2000iSv2 is a compact inverter generator with 2000 watts of clean power, ideal for sensitive electronics.","Specs: 79 cc engine, 10.5-hour run time, 44 lbs, inverter technology."
Robotics,Industrial Robot,FANUC M-20iA,I173,,CNT016,73598.26,7/2/2024,7/2/2027,3 years,PO1242,Nancy Johnson,US142,"Gonzalez, Turner and Allen",SUP115,5/18/2024,6/4/2024,3,232.47,697.41,CC151,GL20001,USD,Kimberly Maynard,80000,79728.71,Maintenance,Employee,China,+86 2265673257,gonzalezturnerandallen@gmail.com,3.37,5,10,1.85,"The FANUC M-20iA is a versatile industrial robot with a high payload and advanced motion control, ideal for a variety of manufacturing processes.","Specs: 20 kg payload, 1.8 m reach, IP67 protection, floor-mounted."
Robotics,Industrial Robot,KUKA KR 10 R1100,I174,,CNT009,6475.42,7/2/2024,7/2/2027,3 years,PO1243,Alexandra Perry,US138,Hughes-Baker,SUP108,2/16/2024,2/26/2024,1,134.25,134.25,CC159,GL20009,USD,April Snyder,80000,79919.53,Finance,Employee,France,+33 7293335685,hughes-baker@gmail.com,2.16,5,9,4.49,"The KUKA KR 10 R1100 is a compact industrial robot with high precision and speed, designed for small to medium-sized production tasks.","Specs: 10 kg payload, 1.1 m reach, IP67 protection, floor-mounted."
Robotics,Industrial Robot,Universal Robots UR10,I176,,CNT016,4907,7/2/2024,7/2/2025,1 years,PO1244,Teresa Hunter,US135,"Gonzalez, Turner and Allen",SUP115,1/21/2024,2/12/2024,5,269.05,1345.25,CC183,GL20033,USD,Robin Lopez,80000,79929.95,Assembly,Procurement Manager,China,+86 2265673257,gonzalezturnerandallen@gmail.com,3.37,5,10,1.85,"The Universal Robots UR10 is a flexible industrial robot with a 10 kg payload and a reach of 1300 mm, perfect for collaborative applications.","Specs: 10 kg payload, 1.3 m reach, IP64 protection, table-top mounting."
Power Backup,Generator,Firman W03083,I170,,CNT001,1532941.13,7/2/2024,7/2/2025,1 years,PO1245,Linda Hansen,US134,"Taylor, Smith and Co",SUP100,4/17/2024,5/2/2024,13,126.93,1650.09,CC158,GL20008,USD,April Snyder,100000,98761.88,Finance,Procurement Manager,Brazil,+55 4551244952,taylorsmithandco@gmail.com,2.91,9,12,1.86,"The Firman W03083 is a versatile inverter generator with 3300 starting watts and 3000 running watts, featuring remote start capabilities.","Specs: 171 cc engine, 9-hour run time, 94 lbs, remote start."
Photography Equipment,Digital Camera,Leica Q2,I208,,CNT016,2102732.01,7/2/2024,7/2/2026,2 years,PO1246,Robert Dean,US190,"Gonzalez, Turner and Allen",SUP115,5/25/2024,6/1/2024,19,125.51,2384.69,CC170,GL20020,USD,Jennifer Bates,1500000,1498549.92,Warehouse,Employee,China,+86 2265673257,gonzalezturnerandallen@gmail.com,3.37,5,10,1.85,"The Leica Q2 is a premium compact camera with a 47.3MP full-frame sensor and 4Kvideo recording, known for its exceptional image quality.","Specs: 47.3MP full-frame sensor, 4K video, 10fps burst, 28mm f/1.7 lens."
Photography Equipment,Digital Camera,Fujifilm X-T4,I205,,CNT014,178286.62,7/2/2024,7/2/2027,3 years,PO1247,Robert May,US157,Roberts-Ferguson,SUP113,1/20/2024,2/1/2024,7,235.6,1649.2,CC186,GL20036,USD,Robin Lopez,1500000,1499577.76,Assembly,Employee,Australia,+61 4783872417,roberts-ferguson@gmail.com,4.74,5,9,1.32,"The Fujifilm X-T4 is a high-performance mirrorless camera with a 26.1MP sensor and 4K video recording, perfect for photographers and videographers.","Specs: 26.1MP APS-C sensor, 4K video, 15fps burst, 3.69M-dot EVF."
Scanning Devices,Barcode Scanner,Honeywell Voyager 1250g,I193,,CNT002,1156377.62,7/2/2024,7/2/2025,1 years,PO1248,Steven Gibbs,US196,Green-Robinson,SUP101,6/30/2024,7/15/2024,15,271.05,4065.75,CC153,GL20003,USD,Kimberly Maynard,5000000,4998924.65,Maintenance,Procurement Manager,Japan,+81 1654376654,green-robinson@gmail.com,2.6,9,12,1.13,"The Honeywell Voyager 1250g is a laser barcode scanner with aggressive scanning performance, ideal for retail and light industrial applications.","Specs: 1D scanning, IP42 rating, 16 ft range, 100 scans/second."
Servers & Data Centers,Server,Lenovo ThinkSystem SR650,I234,,CNT013,989149.59,7/2/2024,7/2/2027,3 years,PO1249,Christine Decker,US121,Lewis-Williams,SUP112,4/17/2024,4/25/2024,12,81.6,979.2,CC197,GL20047,USD,Janice Johnston,5000000,4999005.44,Production,Employee,Brazil,+55 7452780962,lewis-williams@gmail.com,3.33,7,9,2.51,"The Lenovo ThinkSystem SR650 is a high-performance server with flexible storage and advanced reliability features, designed for data-intensive applications.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, up to 16 NVMe drives."
Servers & Data Centers,Server,Oracle Server X8-2,I240,,CNT007,305366.76,7/2/2024,7/2/2026,2 years,PO1250,Lori Jones,US102,"Adams, Davis and Johnson",SUP106,1/12/2024,2/8/2024,12,241.67,2900.04,CC173,GL20023,USD,Jennifer Bates,5000000,4999447.4,Warehouse,Employee,France,+33 7734570375,adamsdavisandjohnson@gmail.com,2.44,10,15,1.04,"The Oracle Server X8-2 is a powerful server with advanced performance and scalability, ideal for database and enterprise applications.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, Oracle Solaris OS support."
Scanning Devices,Barcode Scanner,Datalogic Gryphon GD4500,I194,,CNT010,1087265,7/2/2024,7/2/2026,2 years,PO1251,Michael Richmond,US143,Hill-Lopez,SUP109,4/16/2024,5/9/2024,16,242.59,3881.44,CC153,GL20003,USD,Kimberly Maynard,5000000,4998957.28,Maintenance,Department Head,India,+91 3937587667,hill-lopez@gmail.com,2.88,6,11,2.38,"The Datalogic Gryphon GD4500 is an advanced barcode scanner with high-speed imaging and motion tolerance, perfect for various industries.","Specs: 1D/2D scanning, IP52 rating, bluetooth connectivity, 25 ft range."
